,a,v,t,2bk_a,2bk_v,2bk_t,0bk_a,0bk_v,0bk_t
100307,1.53007220734,1.91572249882,0.370894107527,1.48408406698,1.46154368787,0.446234723144,1.40021958056,3.12054474394,0.406053883045
100408,1.61067032704,2.25842998326,0.549985461593,1.56766337551,2.32038728248,0.69094214096,1.37885626069,2.63811846342,0.517226328858
101006,1.28368626272,1.43042056702,0.337381348839,1.10203438313,1.25794111539,0.370275156273,1.49760320691,1.67755091093,0.308886241103
101107,1.52382633898,1.9322667576,0.365831030592,1.37381921655,1.82870176346,0.461014416568,1.71374305933,2.13775433031,0.283393004074
101309,2.37756096463,2.13197654135,0.348174463784,2.02499897175,2.15775312157,0.613918073533,1.97977173529,2.20704628447,0.288876186766
101410,1.60114196243,1.68294082848,0.437665899346,1.68062984657,1.75198541497,0.572617255128,1.25092173713,1.98646052429,0.427189446506
101915,1.44860895737,1.60896145099,0.555427274636,1.31759510205,1.15348467171,0.748199162901,1.43665813109,3.04139708531,0.544745684521
102008,1.66477806105,2.20063066173,0.382341778788,1.73634267576,2.10993008308,0.422001653331,1.49381536691,2.45248624916,0.381137877819
102311,1.39526809838,0.927363739266,0.545746071985,1.40364059001,1.23578718636,0.655872275766,1.36833701069,0.682806377433,0.441375851066
102816,1.79627901902,1.79934242809,0.562827078459,1.6399066405,1.77922978054,0.825419049488,1.46897504004,2.49395772309,0.540372381713
103111,1.86403357472,2.34408216232,0.382399248349,1.70170467059,2.15287747013,0.524339357141,1.51504144385,2.88404510002,0.387482366819
103414,1.72202612538,2.12747158254,0.481613440232,1.62069895215,1.816771076,0.587249743574,1.51015010589,2.89338644908,0.495183296626
103515,1.39581508633,0.408753898746,0.530591015141,1.39227459726,0.219340100115,0.683966295402,1.32744064982,0.610897531521,0.474424173934
103818,1.61283656957,1.2718403733,0.59975515192,1.52487836537,1.13753404519,0.812850111036,1.48722183043,1.67083793348,0.530778066553
104820,1.36740733848,1.19916225091,0.422550996624,1.34291377456,0.920954606751,0.497679058202,1.37194429616,1.60154066275,0.386149429971
105014,1.68695165016,2.17170518537,0.390744278063,1.62959254045,1.80685595084,0.463437173803,1.40480217699,3.11036523437,0.435444728657
105115,1.71312850316,1.70318264316,0.457404973141,1.86408839636,1.95140217966,0.578444750314,1.51358436663,1.64173646648,0.389031318454
105216,1.48351339252,2.46951706981,0.333640351939,1.36926395999,2.67557005308,0.417116601987,1.54776475402,2.36700159803,0.267170260844
106016,1.69660902287,2.15934348854,0.399994802872,1.4628716852,2.01278007426,0.551496403848,1.7897020875,2.44143865227,0.315762030079
106319,2.11463524977,2.39705840654,0.688473982443,1.87662975027,2.32834838723,0.808978988576,1.88318343982,2.32024547374,0.650529827469
106521,1.65274151097,2.21665736705,0.607326798465,1.43726189979,2.04864470393,0.7966895032,1.4454941043,3.02280572399,0.585004369636
107321,1.53677733849,2.37552841903,0.460151389111,1.71368614588,2.12266765911,0.433247890103,1.18535772237,3.09068020312,0.537337738939
107422,1.61313091727,2.70867528834,0.399850306846,1.53483391987,2.38694336808,0.454312752261,1.35933419057,3.21440296491,0.416191834663
108121,1.39234869254,1.80436526959,0.443330123678,1.36817913033,1.4222627037,0.507888482737,1.3671442063,2.67971851781,0.44158661745
108323,1.1518731837,1.49303412384,0.529589743329,1.46579508278,2.49936821945,0.525556740987,1.11376377241,0.838875586116,0.500453862853
108525,1.38301963676,1.15044554067,0.420010602328,1.22864285956,0.959314569873,0.501862356733,1.58763953256,1.40686357054,0.341032827616
108828,1.29634767143,1.26681118919,0.682204619968,1.291731923,1.4370613262,0.705065014367,1.30514219861,1.1150411305,0.658666360223
109123,2.21941582046,2.27241108693,0.366036727264,2.0195274531,2.13787047405,0.534265207674,1.72579634021,2.5318444307,0.377077444253
109325,1.2705713175,1.29055586203,0.551129247631,1.45020218812,1.73238300463,0.624388682334,1.04055391572,1.05579564122,0.517675728143
