,a,v,t,complex_a,complex_v,complex_t,simple_a,simple_v,simple_t
21,2.24252419652,1.24556426806,0.710134965083,2.17336187315,0.937203303522,0.953690784557,1.46474673767,2.68430407223,0.944119738355
22,2.5612738846,0.740693916528,1.36201626943,2.63372368418,0.70084295539,1.50653008045,2.41409012334,0.806063589029,1.30595533629
62,2.70484916188,1.1427781249,1.91802383418,2.27743361393,1.01104378143,2.26409946301,3.08346334538,1.24864386907,1.65943030699
108,2.29338278489,1.07433144472,1.37577665531,2.27972628084,1.09000219486,1.74518144812,1.86491796811,1.30962705981,1.30787362421
111,2.02673304119,1.22606510048,0.862491646169,1.73964749237,1.1708590023,1.10302158841,2.36657623835,1.36014034651,0.655186139445
254,2.67958506554,0.894875592358,1.25523385546,2.58365388372,0.91009684849,1.99151521156,1.86203674653,1.31165351056,1.30293761493
257,2.3754827976,0.924959161797,1.86063550844,1.93066687918,0.797882357415,2.59521476564,2.59325870485,1.19195298471,1.58277376613
303,2.37160093718,0.528235146501,2.00140544954,2.2063043347,0.415305684471,2.0767108135,2.48898794494,0.604292760772,1.95656966305
318,2.49986596771,1.57281457627,0.964874452745,2.26378596862,1.42189936217,1.06451110915,2.45704668696,1.60022422593,0.923231249484
329,3.24998956785,1.42004164029,0.975991208412,2.92953672738,1.32847636342,1.19207099119,2.88363174703,1.36349783108,0.934308590017
346,2.05170075837,0.518940558289,2.67607336868,1.94305725089,0.565403972614,3.12652110659,1.99551079993,0.52189839056,2.48019939307
350,2.60004086449,1.23023955555,1.59848526531,2.33109186414,1.04772663529,1.89623569864,2.69605074967,1.45836484465,1.45498049605
405,3.02539920059,1.29960556345,1.10576055361,2.82120231223,1.14095887803,1.37329273937,2.6209149131,1.50017294078,1.10659847034
423,2.31493619417,0.673083181287,1.4655411764,2.16277530434,0.669010312828,1.88384258818,2.33947046853,0.708804876534,1.22408694614
433,3.066037512,1.49205968961,0.910394586973,2.92714794722,1.3153238822,1.12702796282,2.21195784958,1.75944595818,1.04798880398
457,2.53085066288,0.811633718189,1.66292636058,2.4706015356,0.677558242173,2.21469601768,2.16642200734,1.12736439488,1.64707263575
