Subject,Group,ACC,RT,Condition
258,MD,1,2117,Control
258,MD,1,596,Control
262,MD,1,1772,Add
262,MD,1,1937,Add
262,MD,1,1691,Add
262,MD,0,1427,Add
262,MD,1,1712,Control
262,MD,1,2333,Control
262,MD,1,1524,Control
262,MD,1,1251,Control
262,MD,1,1184,Control
262,MD,1,2760,Add
262,MD,1,2177,Add
262,MD,1,2996,Add
262,MD,1,3030,Add
262,MD,1,2517,Add
262,MD,1,2080,Add
262,MD,1,1885,Add
262,MD,1,1880,Add
262,MD,1,2532,Control
262,MD,1,1820,Control
262,MD,1,894,Control
262,MD,1,1694,Control
262,MD,1,3000,Add
262,MD,0,4136,Add
262,MD,1,224,Add
262,MD,1,3976,Add
262,MD,0,2955,Add
262,MD,0,0,Add
262,MD,0,3480,Add
262,MD,0,415,Add
262,MD,0,830,Add
262,MD,1,1835,Add
262,MD,0,2879,Add
262,MD,0,208,Add
262,MD,1,937,Add
262,MD,1,632,Add
262,MD,1,1874,Control
262,MD,1,1636,Control
262,MD,1,1020,Control
262,MD,1,1401,Control
262,MD,1,3576,Add
262,MD,1,2839,Add
262,MD,1,3638,Add
262,MD,0,2724,Add
262,MD,0,2926,Add
262,MD,1,1973,Add
262,MD,1,2029,Add
262,MD,1,1938,Add
262,MD,1,1720,Add
262,MD,1,4092,Add
262,MD,1,1530,Control
262,MD,1,1318,Control
262,MD,1,1105,Control
262,MD,1,1900,Control
262,MD,1,771,Control
267,MD,0,2861,Add
267,MD,1,3026,Add
267,MD,1,3096,Add
267,MD,1,2506,Add
267,MD,1,2280,Control
267,MD,1,1172,Control
267,MD,1,1761,Control
267,MD,1,2517,Control
267,MD,1,3267,Add
267,MD,1,3315,Add
267,MD,0,0,Add
267,MD,1,4852,Add
267,MD,1,2404,Add
267,MD,1,2560,Add
267,MD,1,2277,Add
267,MD,0,3748,Add
267,MD,1,1805,Add
267,MD,1,2433,Control
267,MD,1,2094,Control
267,MD,1,1258,Control
267,MD,1,1164,Control
267,MD,1,1281,Control
267,MD,0,0,Add
267,MD,1,4237,Add
267,MD,1,2378,Add
267,MD,1,3233,Add
267,MD,1,4811,Add
267,MD,1,2827,Add
267,MD,1,4994,Add
267,MD,1,3929,Add
267,MD,0,4554,Add
267,MD,0,2455,Add
267,MD,1,4762,Add
267,MD,0,3814,Add
267,MD,1,3929,Add
267,MD,1,1937,Control
267,MD,1,404,Control
267,MD,1,2387,Control
267,MD,1,1946,Control
267,MD,1,2161,Control
267,MD,1,3288,Add
267,MD,1,2355,Add
267,MD,1,3036,Add
267,MD,1,2701,Add
267,MD,1,2802,Add
267,MD,0,0,Add
267,MD,1,4249,Add
267,MD,1,4676,Add
267,MD,1,2222,Add
267,MD,1,3374,Add
267,MD,1,2060,Control
267,MD,1,2162,Control
267,MD,1,2214,Control
267,MD,1,1201,Control
269,MD,0,3622,Add
269,MD,1,1768,Add
269,MD,1,2326,Add
269,MD,1,2416,Add
269,MD,1,2127,Control
269,MD,1,2259,Control
269,MD,1,955,Control
269,MD,0,4104,Control
269,MD,1,2264,Add
269,MD,1,3483,Add
269,MD,0,0,Add
269,MD,1,4741,Add
269,MD,0,3173,Add
269,MD,0,0,Add
269,MD,1,4204,Add
269,MD,0,0,Add
269,MD,1,1238,Control
269,MD,1,1664,Control
269,MD,1,1574,Control
269,MD,1,2923,Control
269,MD,1,1220,Control
269,MD,0,0,Add
269,MD,1,2095,Add
269,MD,0,0,Add
269,MD,1,2200,Add
269,MD,1,2423,Add
269,MD,1,4754,Add
269,MD,1,2627,Add
269,MD,1,1912,Add
269,MD,1,2801,Add
269,MD,1,2567,Add
269,MD,0,1812,Add
269,MD,1,3025,Add
269,MD,0,4650,Add
269,MD,1,3712,Add
269,MD,1,1195,Control
269,MD,1,1430,Control
269,MD,1,1658,Control
269,MD,1,2685,Control
269,MD,1,2465,Add
269,MD,1,2882,Add
269,MD,1,4620,Add
269,MD,1,2782,Add
269,MD,1,4622,Add
269,MD,0,3945,Add
269,MD,1,3203,Add
269,MD,1,2928,Add
269,MD,0,0,Add
269,MD,1,4375,Add
269,MD,1,1523,Control
269,MD,1,3401,Control
269,MD,1,2647,Control
269,MD,1,1060,Control
269,MD,1,3203,Control
293,MD,1,2568,Add
293,MD,1,2364,Add
293,MD,1,3965,Add
293,MD,1,3640,Add
293,MD,1,3089,Add
293,MD,1,1972,Control
293,MD,1,2001,Control
293,MD,1,1460,Control
293,MD,1,1690,Control
293,MD,1,4493,Add
293,MD,1,3936,Add
293,MD,1,3408,Add
293,MD,1,4316,Add
293,MD,1,2771,Add
293,MD,1,2534,Add
293,MD,1,3472,Add
293,MD,0,0,Add
293,MD,1,3578,Add
293,MD,1,2885,Control
293,MD,0,1740,Control
293,MD,1,1998,Control
293,MD,1,1687,Control
293,MD,1,3067,Add
293,MD,1,1837,Add
293,MD,1,2030,Add
293,MD,1,4260,Add
293,MD,1,4686,Add
293,MD,1,2003,Add
293,MD,1,3674,Add
293,MD,0,2940,Add
293,MD,1,2888,Add
293,MD,1,2609,Add
293,MD,1,2837,Add
293,MD,1,4280,Add
293,MD,1,2061,Control
293,MD,1,1837,Control
293,MD,1,2372,Control
293,MD,1,2094,Control
293,MD,1,3372,Control
293,MD,1,3152,Add
293,MD,0,0,Add
293,MD,1,3449,Add
293,MD,1,3176,Add
293,MD,1,3955,Add
293,MD,1,2198,Add
293,MD,1,2450,Add
293,MD,1,3101,Add
293,MD,1,2883,Add
293,MD,1,2985,Add
293,MD,1,2348,Control
293,MD,1,2436,Control
293,MD,1,1913,Control
293,MD,1,3326,Control
293,MD,1,3932,Control
320,MD,1,4558,Add
320,MD,1,2668,Add
320,MD,1,2096,Add
320,MD,1,1906,Add
320,MD,1,2671,Add
320,MD,1,2973,Control
320,MD,1,1587,Control
320,MD,1,2897,Control
320,MD,1,3886,Control
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,1,4890,Add
320,MD,0,0,Add
320,MD,1,3714,Add
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,1,3740,Add
320,MD,1,2265,Add
320,MD,1,2471,Control
320,MD,0,3908,Control
320,MD,1,1856,Control
320,MD,1,1266,Control
320,MD,1,3467,Control
320,MD,1,2355,Add
320,MD,1,3786,Add
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,1,4780,Add
320,MD,1,2551,Add
320,MD,1,2387,Add
320,MD,0,0,Add
320,MD,1,2911,Add
320,MD,1,3790,Add
320,MD,1,3063,Add
320,MD,0,0,Add
320,MD,1,3007,Control
320,MD,1,1980,Control
320,MD,1,2530,Control
320,MD,1,1834,Control
320,MD,1,2242,Control
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,0,0,Add
320,MD,1,4790,Add
320,MD,1,4746,Add
320,MD,1,2738,Add
320,MD,1,2159,Add
320,MD,1,3949,Add
320,MD,1,4321,Add
320,MD,1,1471,Control
320,MD,1,2340,Control
320,MD,1,3206,Control
320,MD,1,1434,Control
339,MD,0,3670,Add
339,MD,0,0,Add
339,MD,1,3897,Add
339,MD,1,3281,Add
339,MD,1,2172,Control
339,MD,1,1681,Control
339,MD,1,1770,Control
339,MD,1,2288,Control
339,MD,0,0,Add
339,MD,1,2415,Add
339,MD,1,2098,Add
339,MD,1,2099,Add
339,MD,1,4379,Add
339,MD,1,4632,Add
339,MD,1,1548,Add
