,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Addition.Complex.MD),3.455521542853484,0.18501104493134363,3.1091081849012481,3.3300229553817848,3.4533718820315316,3.5769787606421954,3.8299612434105725,0.0064602730955540715
a(Addition.Complex.TD),3.1508558610728707,0.17608158478539612,2.8156250047514675,3.0326121471560543,3.1485319825263063,3.2646331630145835,3.5068747439924293,0.0055447897426200814
a(Addition.Simple.MD),3.0017173065740383,0.16322119576251867,2.688758224097719,2.8922550479177858,2.9971554536023066,3.1082375461111384,3.3389749488297644,0.0049571151666498638
a(Addition.Simple.TD),3.1533802699128137,0.18852615578501783,2.7940338696239442,3.0229541373697622,3.1508127778291479,3.2814793038320174,3.5362498815630832,0.0066672967922502772
a(Subtraction.Complex.MD),2.8179410904467188,0.17007217946241077,2.4908906199839866,2.7029947833578487,2.8161988234464772,2.9316698854640828,3.1513885190626874,0.0053124790206895544
a(Subtraction.Complex.TD),3.3063509853387041,0.17032943522983388,2.9827118451331662,3.1928108553776688,3.3053753478467405,3.4192263368536691,3.6521145976425622,0.0053253768413674503
a(Subtraction.Simple.MD),2.8810746427924472,0.16731899114110207,2.5565733514693783,2.7685842417350877,2.8770025711860838,2.9925225815090553,3.2230125304656121,0.0049381031205671102
a(Subtraction.Simple.TD),3.163529811455648,0.17637465341566747,2.8139197899105204,3.045680332185206,3.1602795750111565,3.2842472522523765,3.5184516209036465,0.0056767104863622089
a_std,0.50867222792005939,0.063115516202845723,0.39781917069380901,0.4632899380544539,0.50519195156678043,0.54913849769799272,0.64009091653490646,0.0028378962958697184
a_subj(Addition.Complex.MD).39,3.6459859247866691,0.46992534795928814,2.803935845962231,3.321833504495169,3.6148300131487416,3.9329810524177025,4.6821816625389046,0.013864395826403498
a_subj(Addition.Complex.MD).56,3.2880043205395815,0.41069611738429679,2.5868239358192073,3.0042146238885783,3.2584422097242709,3.5519784679110833,4.1597127168388308,0.0085686886967649544
a_subj(Addition.Complex.MD).95,3.3752862299186361,0.43282182716716128,2.5753439890448533,3.0691500974646946,3.3519219566338112,3.6444801885907454,4.2917672231119566,0.0089596540338261355
a_subj(Addition.Complex.MD).229,3.3057671010322629,0.3817478755113623,2.6227535839648857,3.0335750442615961,3.2768006752161019,3.5555716307712841,4.1129485594967763,0.0097593650751191287
a_subj(Addition.Complex.MD).236,2.965140773923149,0.35470175858286124,2.3397131121729196,2.7076495002620558,2.9419808065858453,3.192076977082869,3.7183944266086666,0.0092453862438220975
a_subj(Addition.Complex.MD).262,3.1913049310792867,0.25093260430813397,2.714844653745307,3.0129849615263868,3.1863692857769887,3.3571966428976596,3.6989500920086877,0.0051151906120238903
a_subj(Addition.Complex.MD).263,3.3161764754327643,0.39188325047919725,2.6014914916173515,3.0421896916343378,3.2984948961881311,3.5694356627832593,4.1373861916805934,0.0074414713778168636
a_subj(Addition.Complex.MD).267,3.6343047339581211,0.43624821177702283,2.8804013526066954,3.3216300097120537,3.5993930265624545,3.9116596581200689,4.5899943319698107,0.01224309408578626
a_subj(Addition.Complex.MD).269,3.3190962259900494,0.37544906379108162,2.654667338398963,3.0530636196863199,3.2986006347807568,3.5519251051697482,4.1290823582455989,0.0082212995540504041
