user_id,ACC,RT,answer,finished,n1,n2,points,problem,problem_id,solution,trial,session,exp_id,row_num
2zbxhrq6oINRwEO97FQhBPb40m62,1,20.113,10,0,4,6,22,4 + 6 = ?,6,10,20,1476987660906,SP_production,19
2zbxhrq6oINRwEO97FQhBPb40m62,1,27.629,13,0,6,7,23,6 + 7 = ?,9,13,21,1476987660906,SP_production,20
2zbxhrq6oINRwEO97FQhBPb40m62,1,20.146,5,0,2,3,25,2 + 3 = ?,1,5,23,1476987660906,SP_production,22
2zbxhrq6oINRwEO97FQhBPb40m62,1,21.613,14,1,5,9,28,5 + 9 = ?,10,14,25,1476987660906,SP_production,24
2zbxhrq6oINRwEO97FQhBPb40m62,1,17.547,8,0,4,8,1,4 + ? = 12,8,12,1,1476988354397,SP_missing,62
2zbxhrq6oINRwEO97FQhBPb40m62,1,19.193,5,0,3,5,2,3 + ? = 8,3,8,2,1476988354397,SP_missing,63
2zbxhrq6oINRwEO97FQhBPb40m62,1,35.145,3,0,2,3,4,2 + ? = 5,1,5,3,1476988354397,SP_missing,64
2zbxhrq6oINRwEO97FQhBPb40m62,1,18.247,6,0,4,6,5,4 + ? = 10,6,10,4,1476988354397,SP_missing,65
2zbxhrq6oINRwEO97FQhBPb40m62,1,15.346,7,0,2,7,6,2 + ? = 9,4,9,5,1476988354397,SP_missing,66
2zbxhrq6oINRwEO97FQhBPb40m62,1,38.43,7,0,6,7,7,6 + ? = 13,9,13,6,1476988354397,SP_missing,67
2zbxhrq6oINRwEO97FQhBPb40m62,1,26.034,9,0,5,9,11,5 + ? = 14,10,14,9,1476988354397,SP_missing,70
2zbxhrq6oINRwEO97FQhBPb40m62,1,25.769,9,0,3,9,12,3 + ? = 12,7,12,10,1476988354397,SP_missing,71
2zbxhrq6oINRwEO97FQhBPb40m62,1,9.913,9,0,3,9,15,3 + ? = 12,7,12,13,1476988354397,SP_missing,74
2zbxhrq6oINRwEO97FQhBPb40m62,1,12.814,3,0,2,3,16,2 + ? = 5,1,5,14,1476988354397,SP_missing,75
2zbxhrq6oINRwEO97FQhBPb40m62,1,12.378,8,0,7,8,19,7 + ? = 15,11,15,16,1476988354397,SP_missing,77
